State,Population,Area,DensityPerSqKm
Uttar Pradesh,199812341,240928,828
Maharashtra,112374333,307713,365
Bihar,104099452,94163,1102
West Bengal,91276115,88752,1029
Madhya Pradesh,72626809,308245,236
Tamil Nadu,72147030,130051,555
Rajasthan,68548437,342239,201
